open,high,low,close,volume,vwap,timestamp,transactions,otc
161.57,162.25,160.18,160.52,6923174.0,160.8689,2024-01-16 05:00:00,87981,
160.25,161.3,159.87,160.43,5072104.0,160.5487,2024-01-17 05:00:00,78342,
160.0,161.37,159.69,161.21,5368502.0,160.677,2024-01-18 05:00:00,84079,
161.15,161.9226,160.28,161.68,7071320.0,161.3692,2024-01-19 05:00:00,90733,
162.0,163.58,161.34,162.47,6824156.0,162.4669,2024-01-22 05:00:00,100498,
159.66,160.5075,156.91,159.81,9149777.0,159.3391,2024-01-23 05:00:00,129513,
159.75,160.6,158.16,158.96,7247926.0,158.9878,2024-01-24 05:00:00,94637,
159.0,159.62,158.47,159.56,5478898.0,159.208,2024-01-25 05:00:00,85981,
160.43,160.74,159.3601,159.5,5591930.0,159.6896,2024-01-26 05:00:00,69564,
159.01,160.0699,158.96,159.36,6483190.0,159.4511,2024-01-29 05:00:00,83958,
159.35,159.76,158.13,158.77,7200538.0,158.7472,2024-01-30 05:00:00,79373,
160.4,160.62,158.67,158.9,8257029.0,159.1116,2024-01-31 05:00:00,91941,
158.16,158.49,157.05,158.36,8012122.0,158.0581,2024-02-01 05:00:00,107509,
157.97,158.31,155.94,156.61,8295916.0,156.7536,2024-02-02 05:00:00,100997,
156.61,156.89,155.34,155.8,9121808.0,155.9581,2024-02-05 05:00:00,113314,
155.83,158.73,155.6,158.06,9230611.0,157.5928,2024-02-06 05:00:00,101524,
157.8,159.37,157.69,157.98,8690294.0,158.073,2024-02-07 05:00:00,97094,
157.34,157.34,155.31,156.4,9754960.0,156.0091,2024-02-08 05:00:00,119356,
156.27,157.2,155.67,156.76,6529202.0,156.5727,2024-02-09 05:00:00,91227,
156.58,158.41,156.35,157.85,6701508.0,157.653,2024-02-12 05:00:00,83380,
157.64,158.45,155.75,156.47,8621022.0,156.5171,2024-02-13 05:00:00,108241,
156.35,156.46,154.84,155.74,9098805.0,155.5189,2024-02-14 05:00:00,107818,
155.98,158.475,155.89,157.92,7462529.0,157.6893,2024-02-15 05:00:00,98734,
156.6,157.255,155.67,156.55,8540961.0,156.7374,2024-02-16 05:00:00,106734,
156.56,158.61,156.44,157.86,9501742.0,157.7961,2024-02-20 05:00:00,118940,
158.02,158.69,157.1312,158.68,7473300.0,158.1948,2024-02-21 05:00:00,93538,
158.98,160.74,157.77,160.45,8065010.0,159.9104,2024-02-22 05:00:00,104753,
160.88,162.25,160.16,161.84,6725963.0,161.6233,2024-02-23 05:00:00,91898,
161.8,162.01,160.57,160.79,5465417.0,160.9361,2024-02-26 05:00:00,81733,
