open,high,low,close,volume,vwap,timestamp,transactions,otc
117.76,120.05,117.76,119.64,17343755.0,119.4243,2024-04-29 04:00:00,177798,
119.11,120.2,117.98,118.27,21083294.0,118.7873,2024-04-30 04:00:00,181233,
118.28,118.47,115.66,116.03,27789759.0,116.5604,2024-05-01 04:00:00,326118,
116.26,117.26,115.9,116.24,25513648.0,116.4024,2024-05-02 04:00:00,250040,
116.0,116.07,114.13,116.0,28023313.0,115.5339,2024-05-03 04:00:00,194210,
116.67,118.34,116.4,116.75,31401260.0,117.0978,2024-05-06 04:00:00,189796,
117.28,117.58,115.93,116.17,30121973.0,116.4352,2024-05-07 04:00:00,175589,
115.71,116.9542,115.41,116.15,18957166.0,116.2256,2024-05-08 04:00:00,141112,
116.2,118.53,116.19,118.44,17563975.0,117.9356,2024-05-09 04:00:00,143989,
118.54,118.66,117.58,117.96,13648130.0,118.0467,2024-05-10 04:00:00,110424,
118.42,119.04,117.12,117.91,15060619.0,117.8749,2024-05-13 04:00:00,129420,
116.79,117.74,116.48,117.67,15079131.0,117.2647,2024-05-14 04:00:00,120047,
117.61,118.84,116.08,118.58,18244303.0,117.8023,2024-05-15 04:00:00,162671,
118.54,119.3,117.54,117.87,15745202.0,118.2322,2024-05-16 04:00:00,117965,
118.3,119.83,117.96,119.64,15104469.0,119.1808,2024-05-17 04:00:00,114210,
119.73,119.89,118.55,118.67,11551250.0,118.9522,2024-05-20 04:00:00,99315,
118.4,119.45,117.78,117.85,14494980.0,118.2481,2024-05-21 04:00:00,104002,
117.46,117.46,114.96,115.48,17879252.0,115.7319,2024-05-22 04:00:00,144960,
115.6,117.51,113.36,113.51,15979835.0,114.2379,2024-05-23 04:00:00,137247,
114.84,115.08,113.035,113.42,12212949.0,113.6548,2024-05-24 04:00:00,106358,
113.52,115.11,113.07,114.86,13978305.0,114.4173,2024-05-28 04:00:00,135484,
114.525,114.545,112.81,113.63,13902001.0,113.4829,2024-05-29 04:00:00,129672,
113.27,114.13,112.955,113.99,14691976.0,113.7624,2024-05-30 04:00:00,118159,
114.12,117.49,113.99,117.26,29037378.0,116.5427,2024-05-31 04:00:00,173273,
116.3,116.36,113.76,114.45,19589338.0,114.7077,2024-06-03 04:00:00,174290,
