open,high,low,close,volume,vwap,timestamp,transactions,otc
164.87,168.09,164.3,167.99,17206420.0,166.874,2024-01-16 05:00:00,189670,
167.34,169.07,166.49,167.09,11107466.0,167.4618,2024-01-17 05:00:00,129330,
167.12,167.53,165.24,167.42,9382255.0,166.5897,2024-01-18 05:00:00,125020,
167.55,170.57,167.08,170.31,13115664.0,169.4246,2024-01-19 05:00:00,136206,
170.46,171.9803,169.71,170.11,12837505.0,170.552,2024-01-22 05:00:00,141845,
169.67,169.75,168.44,168.99,8360829.0,169.0752,2024-01-23 05:00:00,109216,
169.36,171.01,168.8627,170.5,9967060.0,170.3658,2024-01-24 05:00:00,116090,
172.31,172.99,170.905,172.94,8873481.0,172.2758,2024-01-25 05:00:00,114202,
172.61,173.06,171.78,172.28,7442955.0,172.4065,2024-01-26 05:00:00,109372,
172.24,172.84,171.3,172.73,6971192.0,172.2448,2024-01-29 05:00:00,91879,
172.83,176.7603,172.83,176.27,10822075.0,175.5686,2024-01-30 05:00:00,126763,
176.2,178.3,174.34,174.36,11521820.0,175.8263,2024-01-31 05:00:00,142723,
173.64,174.84,171.43,173.73,9354798.0,173.2626,2024-02-01 05:00:00,122038,
173.3,175.8162,173.26,174.73,8607839.0,174.7837,2024-02-02 05:00:00,111119,
173.86,175.09,172.92,174.5,7820160.0,174.2824,2024-02-05 05:00:00,95895,
174.61,175.87,173.76,175.1,6765684.0,174.7187,2024-02-06 05:00:00,96261,
175.69,175.87,173.96,175.43,7225478.0,175.1375,2024-02-07 05:00:00,93011,
175.0,175.3058,173.57,174.8,6060285.0,174.488,2024-02-08 05:00:00,87459,
175.0,175.1,173.6731,175.01,6296729.0,174.6923,2024-02-09 05:00:00,86426,
174.78,176.808,173.7,175.79,8539316.0,175.7536,2024-02-12 05:00:00,99614,
175.32,176.2299,172.615,174.26,8397631.0,174.1701,2024-02-13 05:00:00,119866,
175.07,176.1,174.42,176.03,7056664.0,175.3862,2024-02-14 05:00:00,92056,
176.15,180.21,176.15,179.87,8723390.0,179.3023,2024-02-15 05:00:00,120899,
179.61,179.98,178.16,179.03,8295147.0,178.9787,2024-02-16 05:00:00,99554,
179.19,180.46,178.405,179.73,9667959.0,179.7376,2024-02-20 05:00:00,103049,
179.95,180.99,178.52,180.9,7027857.0,180.2036,2024-02-21 05:00:00,96763,
181.82,183.42,181.24,183.07,9296459.0,182.7883,2024-02-22 05:00:00,111935,
183.81,185.2,183.19,183.99,7105833.0,184.196,2024-02-23 05:00:00,108274,
183.75,184.46,182.48,183.36,7145391.0,183.3274,2024-02-26 05:00:00,98131,
183.31,183.54,182.24,183.45,5717065.0,182.9509,2024-02-27 05:00:00,88775,
183.43,185.2,182.96,184.38,6131608.0,184.4134,2024-02-28 05:00:00,90914,
185.66,186.43,183.85,186.06,9643012.0,185.571,2024-02-29 05:00:00,100056,
185.7,186.44,185.1,185.29,6311996.0,185.4901,2024-03-01 05:00:00,93782,
