open,high,low,close,volume,vwap,timestamp,transactions,otc
182.16,184.26,180.934,183.63,65603041.0,182.8825,2024-01-16 05:00:00,767284,
181.27,182.93,180.3,182.68,47317433.0,181.9201,2024-01-17 05:00:00,594632,
186.09,189.14,185.83,188.63,78005754.0,187.9375,2024-01-18 05:00:00,787235,
189.33,191.95,188.82,191.56,68902985.0,190.6151,2024-01-19 05:00:00,682664,
192.3,195.33,192.26,193.89,60133852.0,193.9891,2024-01-22 05:00:00,718108,
195.02,195.75,193.8299,195.18,42355590.0,194.8203,2024-01-23 05:00:00,533093,
195.42,196.38,194.34,194.5,53631316.0,195.2063,2024-01-24 05:00:00,594714,
195.22,196.2675,193.1125,194.17,54822126.0,194.7337,2024-01-25 05:00:00,644526,
194.27,194.76,191.94,192.42,44594011.0,193.1206,2024-01-26 05:00:00,534166,
192.01,192.2,189.58,191.73,47145622.0,191.2954,2024-01-29 05:00:00,599513,
190.94,191.8,187.47,188.04,55859370.0,188.7925,2024-01-30 05:00:00,690707,
187.04,187.095,184.35,184.4,55467803.0,185.3525,2024-01-31 05:00:00,679844,
183.985,186.95,183.82,186.86,64885408.0,185.5688,2024-02-01 05:00:00,820977,
179.86,187.33,179.25,185.85,102551680.0,184.7435,2024-02-02 05:00:00,1108466,
188.15,189.25,185.84,187.68,69668820.0,187.6826,2024-02-05 05:00:00,804749,
186.86,189.31,186.7695,189.3,43490759.0,188.4788,2024-02-06 05:00:00,530825,
190.64,191.05,188.61,189.41,53438955.0,189.3803,2024-02-07 05:00:00,596088,
189.385,189.535,187.35,188.32,40962046.0,188.3032,2024-02-08 05:00:00,521464,
188.65,189.99,188.0,188.85,45155216.0,189.0056,2024-02-09 05:00:00,544714,
188.415,188.67,186.79,187.15,41781934.0,187.5914,2024-02-12 05:00:00,585515,
185.77,186.21,183.5128,185.04,56529529.0,185.0421,2024-02-13 05:00:00,644015,
185.32,185.53,182.44,184.15,54630517.0,183.6206,2024-02-14 05:00:00,679073,
183.55,184.49,181.35,183.86,65434496.0,182.8487,2024-02-15 05:00:00,756083,
183.42,184.85,181.665,182.31,49752465.0,182.7317,2024-02-16 05:00:00,611770,
181.79,182.43,180.0,181.56,53665553.0,181.1,2024-02-20 05:00:00,712338,
181.94,182.8888,180.66,182.32,41529674.0,181.9945,2024-02-21 05:00:00,522493,
183.48,184.955,182.46,184.37,52292208.0,183.8373,2024-02-22 05:00:00,613893,
185.01,185.04,182.23,182.52,45119677.0,182.9877,2024-02-23 05:00:00,549251,
182.24,182.76,180.65,181.16,40867421.0,181.3213,2024-02-26 05:00:00,615639,
181.1,183.9225,179.56,182.63,54318851.0,181.8192,2024-02-27 05:00:00,669751,
182.51,183.12,180.13,181.42,48953939.0,181.1915,2024-02-28 05:00:00,596443,
181.27,182.57,179.53,180.75,136682597.0,180.6781,2024-02-29 05:00:00,813073,
179.55,180.53,177.38,179.66,73563082.0,179.033,2024-03-01 05:00:00,911079,
176.15,176.9,173.79,175.1,81510101.0,174.8938,2024-03-04 05:00:00,1167167,
170.76,172.04,169.62,170.12,95132355.0,170.3234,2024-03-05 05:00:00,1108821,
171.06,171.24,168.68,169.12,68587707.0,169.5507,2024-03-06 05:00:00,896300,
169.15,170.73,168.49,169.0,71765061.0,169.3619,2024-03-07 05:00:00,825406,
169.0,173.7,168.94,170.73,76267041.0,171.5322,2024-03-08 05:00:00,925213,
172.94,174.38,172.05,172.75,60139473.0,172.9273,2024-03-11 04:00:00,793618,
173.15,174.03,171.01,173.23,59825372.0,172.8727,2024-03-12 04:00:00,735067,
172.77,173.185,170.76,171.13,52488692.0,171.3457,2024-03-13 04:00:00,647120,
172.91,174.3078,172.05,173.0,72913507.0,173.0899,2024-03-14 04:00:00,806014,
171.17,172.62,170.285,172.62,121752699.0,171.8002,2024-03-15 04:00:00,771387,
175.57,177.71,173.52,173.72,75604184.0,175.4587,2024-03-18 04:00:00,866388,
174.34,176.605,173.03,176.08,55215244.0,175.4779,2024-03-19 04:00:00,636058,
